China	Baby_Food	H	3/0/115	888084399	2/8/115	2764	255.28	159.42	705593.92	440636.88	264957.04
Senegal	Household	M	3/1/110	188331258	3/7/110	2592	668.27	502.54	173081.93	130157.86	42924.07
Spain	Cosmetics	H	4/0/120	419298636	4/11/120	8639	437.2	263.33	3776970.8	2274907.87	1502062.93
Iraq	Beverages	L	4/0/117	720097863	6/9/116	1815	47.45	31.79	86121.75	57698.85	28422.9
Brunei	Fruits	M	1/3/117	300152766	4/7/116	7281	9.33	6.92	61792.24	50307.76	1754.48
Croatia	Snacks	H	6/0/115	300636422	5/0/113	3853	152.58	97.44	587890.74	375436.32	212454.42
Canada	drinks	M	3/11/118	685241162	5/8/119	6942	437.2	263.33	3035042.4	1828036.86	1207005.54
Chile	Meat	L	0/1/120	700874793	0/10/118	3281	421.89	364.69	1384221.09	1196547.89	187673.2
Bosnia	Snacks	M	5/2/117	273013103	4/1/116	9499	152.58	97.44	1449357.42	925582.56	523774.86
Slovakia	Clothes	C	2/6/111	149590289	0/6/112	5946	109.28	35.84	649778.88	213104.64	436674.24
New_Zealand	food	H	3/0/113	809724843	6/11/111	4430	651.21	524.96	2884860.3	2325572.8	559287.5
Australia	drinks	C	2/10/111	663861167	5/10/112	1274	81.73	56.67	10379.71	71907.09	3182.62
West_Indies	Fruits	M	4/11/113	876110589	0/9/112	9447	9.33	6.92	88140.51	65373.24	22767.27
Australia	Meat	H	4/7/112	880896937	3/4/111	5834	421.89	364.69	2461306.26	2127601.46	333704.8
